Nome;Sobrenome;Posicao_Jogador;ID_Jogador;ID_Jogo;Data_Hora_Jogo;Nome_Time;Nome_Oponente;Casa;Minutos;Pontos;Assistencias;3PTS_Feitos;reboundsDefensive;reboundsOffensive;Rebotes
Jaylen;Wells;F;1642377.0;22500787;11/02/2026;Grizzlies;Nuggets;0.0;24.18;17.0;0.0;2.0;1.0;0.0;1.0
Walter;Clayton Jr.;G;1642383.0;22500787;11/02/2026;Grizzlies;Nuggets;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Jahmai;Mashack;G;1642942.0;22500787;11/02/2026;Grizzlies;Nuggets;0.0;21.5;9.0;2.0;1.0;2.0;1.0;3.0
Lawson;Lovering;;1643133.0;22500787;11/02/2026;Grizzlies;Nuggets;0.0;17.34;3.0;0.0;0.0;2.0;2.0;4.0
Jonas;Valanciunas;C;202685.0;22500787;11/02/2026;Nuggets;Grizzlies;1.0;14.11;9.0;0.0;0.0;3.0;3.0;6.0
Kentavious;Caldwell-Pope;G;203484.0;22500787;11/02/2026;Grizzlies;Nuggets;0.0;26.1;5.0;2.0;1.0;3.0;0.0;3.0
Tim;Hardaway Jr.;G-F;203501.0;22500787;11/02/2026;Nuggets;Grizzlies;1.0;27.5;21.0;0.0;4.0;3.0;0.0;3.0
Kyle;Anderson;F-G;203937.0;22500787;11/02/2026;Grizzlies;Nuggets;0.0;18.29;8.0;1.0;0.0;1.0;2.0;3.0
Nikola;Jokic;C;203999.0;22500787;11/02/2026;Nuggets;Grizzlies;1.0;33.54;26.0;11.0;0.0;10.0;5.0;15.0
Kris;Dunn;G;1627739.0;22500782;11/02/2026;Clippers;Rockets;0.0;36.34;16.0;6.0;4.0;2.0;0.0;2.0
Derrick;Jones Jr.;F;1627884.0;22500782;11/02/2026;Clippers;Rockets;0.0;30.18;12.0;3.0;2.0;1.0;0.0;1.0
John;Collins;F-C;1628381.0;22500782;11/02/2026;Clippers;Rockets;0.0;35.27;12.0;1.0;0.0;5.0;1.0;6.0
Aaron;Holiday;G;1628988.0;22500782;11/02/2026;Rockets;Clippers;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Josh;Okogie;G;1629006.0;22500782;11/02/2026;Rockets;Clippers;1.0;9.35;0.0;0.0;0.0;0.0;0.0;0.0
Jae'Sean;Tate;F;1630256.0;22500782;11/02/2026;Rockets;Clippers;1.0;12.48;4.0;1.0;0.0;1.0;0.0;1.0
Isaiah;Jackson;F;1630543.0;22500782;11/02/2026;Clippers;Rockets;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Alperen;Sengun;C;1630578.0;22500782;11/02/2026;Rockets;Clippers;1.0;29.25;16.0;6.0;0.0;4.0;5.0;9.0
Dalano;Banton;;1630625.0;22500782;11/02/2026;Clippers;Rockets;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Jabari;Smith Jr.;F;1631095.0;22500782;11/02/2026;Rockets;Clippers;1.0;35.5;16.0;0.0;2.0;10.0;2.0;12.0
Bennedict;Mathurin;G-F;1631097.0;22500782;11/02/2026;Clippers;Rockets;0.0;31;16.0;3.0;1.0;3.0;0.0;3.0
TyTy;Washington Jr.;G;1631102.0;22500782;11/02/2026;Clippers;Rockets;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Tari;Eason;F;1631106.0;22500782;11/02/2026;Rockets;Clippers;1.0;33.58;13.0;3.0;2.0;2.0;0.0;2.0
Amen;Thompson;G-F;1641708.0;22500782;11/02/2026;Rockets;Clippers;1.0;40.49;12.0;5.0;0.0;2.0;4.0;6.0
Jordan;Miller;G;1641757.0;22500782;11/02/2026;Clippers;Rockets;0.0;17.08;4.0;0.0;0.0;2.0;1.0;3.0
Reed;Sheppard;G;1642263.0;22500782;11/02/2026;Rockets;Clippers;1.0;25.02;17.0;4.0;5.0;2.0;0.0;2.0
Cam;Christie;G;1642353.0;22500782;11/02/2026;Clippers;Rockets;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Isaiah;Crawford;F;1642384.0;22500782;11/02/2026;Rockets;Clippers;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Kobe;Sanders;G;1642920.0;22500782;11/02/2026;Clippers;Rockets;0.0;9.4;3.0;1.0;0.0;1.0;0.0;1.0
Yanic Konan;Niederhauser;;1642949.0;22500782;11/02/2026;Clippers;Rockets;0.0;10.12;0.0;0.0;0.0;1.0;2.0;3.0
Kevin;Durant;F;201142.0;22500782;11/02/2026;Rockets;Clippers;1.0;36.05;21.0;6.0;3.0;7.0;1.0;8.0
Jeff;Green;F;201145.0;22500782;11/02/2026;Rockets;Clippers;1.0;;0.0;0.0;0.0;0.0;0.0;0.0
Brook;Lopez;C;201572.0;22500782;11/02/2026;Clippers;Rockets;0.0;37.05;15.0;3.0;3.0;1.0;0.0;1.0
Kawhi;Leonard;F;202695.0;22500782;11/02/2026;Clippers;Rockets;0.0;32.36;27.0;4.0;1.0;9.0;3.0;12.0
Clint;Capela;C;203991.0;22500782;11/02/2026;Rockets;Clippers;1.0;16.28;3.0;0.0;0.0;4.0;1.0;5.0
Bogdan;Bogdanovic;G;203992.0;22500782;11/02/2026;Clippers;Rockets;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Donte;DiVincenzo;G;1628978.0;22500783;11/02/2026;Timberwolves;Trail Blazers;1.0;29;3.0;5.0;1.0;4.0;0.0;4.0
Robert;Williams III;C-F;1629057.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;11.36;5.0;1.0;0.0;3.0;2.0;5.0
Naz;Reid;C-F;1629675.0;22500783;11/02/2026;Timberwolves;Trail Blazers;1.0;23.49;11.0;2.0;2.0;7.0;0.0;7.0
Matisse;Thybulle;G-F;1629680.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;;0.0;0.0;0.0;0.0;0.0;0.0
Anthony;Edwards;G;1630162.0;22500783;11/02/2026;Timberwolves;Trail Blazers;1.0;32.4;14.0;2.0;4.0;3.0;1.0;4.0
Deni;Avdija;F;1630166.0;22500783;11/02/2026;Trail Blazers;Timberwolves;0.0;26.54;11.0;3.0;0.0;4.0;1.0;5.0
Jaden;McDaniels;F;1630183.0;22500783;11/02/2026;Timberwolves;Trail Blazers;1.0;33.23;21.0;6.0;2.0;2.0;4.0;6.0
Ayo;Dosunmu;G;1630245.0;22500783;11/02/2026;Timberwolves;Trail Blazers;1.0;28.26;12.0;4.0;0.0;1.0;0.0;1.0
