Nome;Sobrenome;POS;player_id;image_path
Jeff;Green;F;201145.0;assets/players/201145.png
Jerami;Grant;F;203924.0;assets/players/203924.png
Jeremiah;Fears;G;1642847.0;assets/players/1642847.png
Jeremiah;Robinson-Earl;F;1630526.0;assets/players/1630526.png
Jeremiah;Robinson-Earl;F;1630526.0;assets/players/1630526.png
Jeremy;Sochan;F;1631110.0;assets/players/1631110.png
Jericho;Sims;C;1630579.0;assets/players/1630579.png
Jett;Howard;G;1641724.0;assets/players/1641724.png
Jevon;Carter;G;1628975.0;assets/players/1628975.png
Jimmy;Butler;F;;perfiljogador.png
Joan;Beringer;F;1642866.0;assets/players/1642866.png
Jock;Landale;C;1629111.0;assets/players/1629111.png
Joe;Ingles;F-G;204060.0;assets/players/204060.png
Joel;Embiid;C-F;203954.0;assets/players/203954.png
John;Collins;F-C;1628381.0;assets/players/1628381.png
John;Konchar;G;1629723.0;assets/players/1629723.png
Johni;Broome;F;1641780.0;assets/players/1641780.png
Johnny;Furphy;G;1642277.0;assets/players/1642277.png
Johnny;Juzang;G;1630548.0;assets/players/1630548.png
Jonas;Valanciunas;C;;perfiljogador.png
Jonathan;Kuminga;F;1630228.0;assets/players/1630228.png
Jonathan;Isaac;F;1628371.0;assets/players/1628371.png
Jonathan;Mogbo;F;1642367.0;assets/players/1642367.png
Jordan;Poole;G;1629673.0;assets/players/1629673.png
Jordan;Clarkson;G;203903.0;assets/players/203903.png
Jordan;Miller;G;1641757.0;assets/players/1641757.png
Jordan;Goodwin;G;1630692.0;assets/players/1630692.png
Jordan;Walsh;G;1641775.0;assets/players/1641775.png
Jordan;Hawkins;G;1641722.0;assets/players/1641722.png
Jordan;McLaughlin;G;1629162.0;assets/players/1629162.png
Jose;Alvarado;G;1630631.0;assets/players/1630631.png
Josh;Giddey;G;1630581.0;assets/players/1630581.png
Josh;Hart;G;1628404.0;assets/players/1628404.png
Josh;Minott;F;1631169.0;assets/players/1631169.png
Josh;Okogie;G;1629006.0;assets/players/1629006.png
Josh;Green;G;1630182.0;assets/players/1630182.png
Jrue;Holiday;G;201950.0;assets/players/201950.png
Julian;Champagnie;F;1630577.0;assets/players/1630577.png
Julian;Strawther;G;1631124.0;assets/players/1631124.png
Julian;Phillips;F;1641763.0;assets/players/1641763.png
Julius;Randle;F-C;203944.0;assets/players/203944.png
Justin;Champagnie;G-F;1630551.0;assets/players/1630551.png
Justin;Edwards;F;1642348.0;assets/players/1642348.png
Jusuf;Nurkic;C;;perfiljogador.png
Kam;Jones;G;1642880.0;assets/players/1642880.png
Karl-Anthony;Towns;C-F;1626157.0;assets/players/1626157.png
Karlo;Matkovic;F-C;;perfiljogador.png
Kasparas;Jakucionis;G;;perfiljogador.png
Kawhi;Leonard;F;202695.0;assets/players/202695.png
Keaton;Wallace;G;1630811.0;assets/players/1630811.png
Keegan;Murray;F;1631099.0;assets/players/1631099.png
Keldon;Johnson;F-G;1629640.0;assets/players/1629640.png
Kel'el;Ware;C;1642276.0;assets/players/1642276.png
Kelly;Oubre Jr.;F-G;1626162.0;assets/players/1626162.png
Kelly;Olynyk;F-C;203482.0;assets/players/203482.png
Kenrich;Williams;G-F;1629026.0;assets/players/1629026.png
Kentavious;Caldwell-Pope;G;203484.0;assets/players/203484.png
Keon;Ellis;G;1631165.0;assets/players/1631165.png
Keshad;Johnson;F;1642352.0;assets/players/1642352.png
Kevin;Durant;F;201142.0;assets/players/201142.png
Kevin;Porter Jr.;G-F;1629645.0;assets/players/1629645.png
